Original_Text,Ground_Truth,Predicted_Text,Original_Text_Length,is_latin,Original_Text_special_chars,Original_Text_unique_words,Baseline_Original_Text,Baseline_Predicted_Text,Enhanced_Predicted_Text,LLM_Predicted_Text,Voting_Hybrid_Predicted_Text,RefineBoost_Hybrid_Predicted_Text,Conditional_Hybrid_Predicted_Text
Peter Mynte/John Rostill,Peter Mynte/John Rostill,,24.0,False,1,3,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill,Peter Mynte/John Rostill
Пётр Ильич Чайковский,,,21.0,False,19,3,Пётр Ильич Чайковский,Пётр Ильич Чайковский,Пётр Ильич Чайковский,,Пётр Ильич Чайковский,Пётр Ильич Чайковский,
ZydSounds,ZydSounds,,9.0,True,0,1,ZydSounds,ZydSounds,ZydSounds,ZydSounds,ZydSounds,ZydSounds,ZydSounds
Yaven Mauldin & David McDaniel,Yaven Mauldin/David McDaniel,,30.0,False,1,5,Yaven Mauldin & David McDaniel,Yaven Mauldin / David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin/David McDaniel,Yaven Mauldin/David McDaniel
Gesher/I Am Grime,Gesher/I Am Grime,,17.0,False,1,3,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime,Gesher/I Am Grime
Charles Nicholas Hayes,Charles Nicholas Hayes,,22.0,True,0,3,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes,Charles Nicholas Hayes
"Masked Wolf,IDK,KayCyy,Sir Nolan,Tyron Hapi,Feli Ferraro",Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,,56.0,False,5,5,"Masked Wolf,IDK,KayCyy,Sir Nolan,Tyron Hapi,Feli Ferraro",Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro,Masked Wolf/IDK/KayCyy/Sir Nolan/Tyron Hapi/Feli Ferraro
Juan Peralta,Juan Peralta,,12.0,True,0,2,Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta,Juan Peralta
James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,,64.0,False,3,5,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot,James Lightfoot/Alastair Thorpe/Jonathan Barnard/David Lightfoot
Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,,29.0,False,2,4,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore,Richard Butler/Martin L. Gore
"Hainze Diaz Arroyo, Neftalí Alvarez Nuñez, Carlkos Crespo Planas & Hector E. Birriel Caraballo",Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,,94.0,False,6,14,"Hainze Diaz Arroyo, Neftalí Alvarez Nuñez, Carlkos Crespo Planas & Hector E. Birriel Caraballo",Hainze Diaz Arroyo/ Neftalí Alvarez Nuñez/ Carlkos Crespo Planas / Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo,Hainze Diaz Arroyo/Neftalí Alvarez Nuñez/Carlkos Crespo Planas/Hector E. Birriel Caraballo
James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,,26.0,False,1,3,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich,James Hetfield/Lars Ulrich
